Sample_ID,UMAP_1,UMAP_2,leiden_clusters
TCGA-AN-A0AJ-01,4.8385363,11.245672,1
TCGA-A8-A08J-01,4.2376804,11.863932,1
TCGA-A8-A06N-01,4.4576764,14.540783,0
TCGA-A8-A0A1-01,1.1311753,11.530809,2
TCGA-A8-A09D-01,2.8808315,11.57739,1
TCGA-A8-A086-01,2.6442761,12.463718,0
TCGA-A8-A09G-01,3.6935124,10.245769,1
TCGA-AN-A0FX-01,3.5363371,5.777408,3
TCGA-AO-A03P-01,3.896964,13.68995,0
TCGA-A2-A0EV-01,2.4165301,12.67779,0
TCGA-BH-A0EE-01,4.0023446,10.249891,1
TCGA-A8-A090-01,3.3063674,13.123143,0
TCGA-A8-A076-01,4.0585575,11.035255,1
TCGA-A2-A0EO-01,1.2334292,12.016932,2
TCGA-B6-A0IN-01,4.3567014,9.642871,1
TCGA-B6-A0IM-01,3.027427,13.160887,0
TCGA-B6-A0IB-01,2.1715517,13.831099,0
TCGA-A8-A09C-01,2.1372826,13.692712,0
TCGA-AN-A0FT-01,4.613273,9.291035,1
TCGA-A8-A07E-01,0.8895241,10.614785,2
TCGA-A8-A07P-01,4.531357,12.023899,0
TCGA-A8-A08A-01,1.5742629,13.925392,0
TCGA-A2-A04V-01,2.1997485,12.570536,0
TCGA-AN-A03Y-01,5.0619617,12.103261,0
TCGA-B6-A0IQ-01,4.3722253,6.8897557,3
TCGA-A2-A04X-01,4.1145415,10.589676,1
TCGA-A8-A09R-01,4.008705,12.253416,1
TCGA-B6-A0I8-01,3.5140915,12.735731,0
TCGA-A2-A0CZ-01,1.1863236,11.4208,2
TCGA-A8-A09N-01,4.25829,12.279478,0
TCGA-A8-A08P-01,4.5877857,10.87429,1
TCGA-A8-A08L-01,4.4403152,10.151174,1
TCGA-B6-A0I9-01,2.4842632,10.544292,0
TCGA-A8-A091-01,4.1514287,14.064011,0
TCGA-A7-A0CH-01,1.5065819,13.810268,0
TCGA-AN-A0FZ-01,3.1630843,12.556957,0
TCGA-AN-A0FK-01,2.176084,14.026362,0
TCGA-A8-A094-01,3.6021621,10.148893,1
TCGA-A8-A07B-01,4.081663,10.9848795,1
TCGA-A2-A0CU-01,3.4974835,13.033199,0
TCGA-A8-A07L-01,4.7217035,13.127173,0
TCGA-A2-A0CY-01,4.183608,8.36846,3
TCGA-AQ-A04J-01,3.1103215,6.8282733,3
TCGA-A8-A0A2-01,1.6657888,13.481995,0
TCGA-AN-A0AM-01,4.390376,11.088437,1
TCGA-A8-A09Q-01,4.905209,10.890795,1
TCGA-A2-A0CP-01,1.0671513,11.84981,2
TCGA-A8-A09E-01,3.2545166,13.6816845,0
TCGA-A7-A0CJ-01,4.4471226,12.296787,0
TCGA-BH-A0E6-01,4.100029,7.8053803,3
TCGA-A8-A09K-01,4.4778194,13.948295,0
TCGA-A8-A08C-01,0.99857473,14.123738,0
TCGA-A7-A0DB-01,0.972642,12.95029,0
TCGA-A8-A07I-01,3.7393484,11.27425,1
TCGA-AN-A0G0-01,3.739822,7.094654,3
TCGA-AN-A0FW-01,2.8132052,12.402126,1
TCGA-A2-A0ET-01,3.4385498,14.33576,0
TCGA-AO-A03T-01,4.742511,9.601184,1
TCGA-B6-A0IO-01,2.6041675,13.411728,0
TCGA-BH-A0HW-01,4.0494337,14.626294,0
TCGA-A8-A06R-01,4.2705107,10.330153,1
TCGA-AN-A046-01,2.9982004,11.670685,0
TCGA-A2-A0EX-01,1.2043898,12.338363,2
TCGA-A2-A0EM-01,1.5750266,13.594381,0
TCGA-A8-A09B-01,1.8614819,13.723562,0
TCGA-A2-A0D4-01,4.648795,13.278434,0
TCGA-BH-A0HU-01,3.1756217,12.099212,0
TCGA-A8-A09W-01,4.4229198,11.431139,1
TCGA-BH-A18L-11,-3.2922606,10.074531,4
TCGA-BH-A0DD-11,-4.0996647,9.558542,4
TCGA-BH-A1EU-11,-2.2019897,9.464294,4
