n_neighbors,resolution,silhouette_score
10,0.2,0.16651983587834265
20,0.2,0.16651983587834265
30,0.2,0.16651983587834265
30,0.5,0.08647068980241006
30,0.8,0.07916189636664041
10,0.5,0.079133504858933
20,0.8,0.078094326684219
10,0.8,0.0773086048175355
20,0.5,0.07521417952849063
10,1.2,0.06878128692698462
20,1.2,0.06679314112794951
30,1.2,0.06493390704481102
